idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
227,1938,1421,1938,1421,1938,1421,1938,1421,9961,9444,1938,1421,1938,1421,2282,1765,1938,1421
228,1938,1421,1938,1421,1938,1421,1938,1421,9995,9478,1938,1421,1938,1421,2255,1738,1938,1421
229,1938,1421,1938,1421,1938,1421,1938,1421,10022,9505,1938,1421,1938,1421,2229,1712,1938,1421
230,1938,1421,1938,1421,1938,1421,1938,1421,10048,9531,1938,1421,1938,1421,2202,1685,1938,1421
231,1938,1421,1938,1421,1938,1421,1938,1421,10075,9558,1938,1421,1938,1421,2155,1638,1938,1421
232,1938,1421,1938,1421,1938,1421,1938,1421,10121,9605,1938,1421,1938,1421,2131,1614,1938,1421
233,1938,1421,1938,1421,1938,1421,1938,1421,10146,9629,1938,1421,1938,1421,2097,1580,1938,1421
234,1938,1421,1938,1421,1938,1421,1938,1421,10180,9663,1938,1421,1938,1421,2067,1550,1938,1421
235,1938,1421,1938,1421,1938,1421,1938,1421,10209,9692,1938,1421,1938,1421,2048,1531,1938,1421
236,1938,1421,1938,1421,1938,1421,1938,1421,10229,9712,1938,1421,1938,1421,2021,1504,1938,1421
237,1938,1421,1938,1421,1938,1421,1938,1421,10256,9739,1938,1421,1938,1421,1998,1481,1938,1421
238,1938,1421,1938,1421,1938,1421,1938,1421,10279,9762,1938,1421,1938,1421,1991,1474,1938,1421
239,1938,1421,1938,1421,1938,1421,1938,1421,10286,9769,1938,1421,1938,1421,1982,1465,1938,1421
240,1938,1421,1938,1421,1938,1421,1938,1421,10295,9778,1938,1421,1938,1421,1972,1455,1938,1421
241,1938,1421,1938,1421,1938,1421,1938,1421,10305,9788,1938,1421,1938,1421,1965,1448,1938,1421
242,1938,1421,1938,1421,1938,1421,1938,1421,10311,9794,1938,1421,1938,1421,1961,1444,1938,1421
243,1938,1421,1938,1421,1938,1421,1938,1421,10315,9798,1938,1421,1938,1421,1955,1438,1938,1421
244,1938,1421,1938,1421,1938,1421,1938,1421,10322,9805,1938,1421,1938,1421,1954,1437,1938,1421
