roll,pitch,yaw
248,-16.567766189575195,-37.62421798706055,-40.41459655761719
249,-16.279783248901367,-37.50761413574219,-40.77467727661133
250,-16.026172637939453,-37.466800689697266,-41.03538131713867
251,-15.785484313964844,-37.425254821777344,-41.239479064941406
252,-15.575139045715332,-37.37620544433594,-41.488067626953125
253,-15.375574111938477,-37.29816818237305,-41.77449035644531
254,-15.077791213989258,-37.147090911865234,-42.190025329589844
255,-14.771039009094238,-36.96173858642578,-42.585060119628906
256,-14.480999946594238,-36.74799346923828,-42.95421600341797
257,-14.167876243591309,-36.483558654785156,-43.391754150390625
258,-13.851679801940918,-36.07825469970703,-43.8973388671875
259,-13.531182289123535,-35.6453857421875,-44.39240646362305
260,-13.185759544372559,-35.17152404785156,-44.86246109008789
261,-12.860862731933594,-34.725833892822266,-45.29924774169922
262,-12.573783874511719,-34.338172912597656,-45.63428497314453
263,-12.27686595916748,-33.913639068603516,-45.95719909667969
264,-11.971643447875977,-33.3409423828125,-46.311790466308594
265,-11.612605094909668,-32.383846282958984,-46.82378005981445
266,-11.217509269714355,-31.35331153869629,-47.37370681762695
267,-10.73050594329834,-30.25773811340332,-48.03251266479492
268,-10.282011032104492,-29.207551956176758,-48.67448425292969
269,-10.0422945022583,-28.137470245361328,-49.19076919555664
270,-9.868132591247559,-26.94955825805664,-49.66417694091797
271,-9.737956047058105,-25.381961822509766,-50.06000900268555
272,-9.591071128845215,-23.593883514404297,-50.49734878540039
273,-9.207722663879395,-21.40013313293457,-51.2138671875
274,-8.734109878540039,-19.158248901367188,-51.927310943603516
275,-8.298169136047363,-17.40506935119629,-52.204734802246094
276,-7.9992475509643555,-15.80534553527832,-52.44086456298828
277,-7.997936725616455,-14.228487014770508,-52.7053108215332
278,-8.08455753326416,-12.565879821777344,-53.047035217285156
279,-8.249658584594727,-10.796320915222168,-53.43001937866211
280,-8.57783317565918,-8.693527221679688,-53.88709259033203
281,-9.027077674865723,-6.337642669677734,-54.367496490478516
282,-9.453831672668457,-3.8276517391204834,-54.685943603515625
283,-9.753357887268066,-1.528199553489685,-54.7779426574707
284,-9.774645805358887,0.29244306683540344,-54.99155044555664
285,-9.721138000488281,1.7369885444641113,-55.26459884643555
286,-9.775976181030273,2.730569839477539,-55.63324737548828
287,-9.956429481506348,3.750196695327759,-55.99603271484375
288,-10.25526237487793,5.317362308502197,-56.29674530029297
289,-10.481056213378906,7.2402191162109375,-56.56344223022461
290,-10.357062339782715,9.458157539367676,-56.7756233215332
291,-9.997109413146973,11.468949317932129,-56.94651412963867
292,-9.312792778015137,12.69446086883545,-57.079105377197266
293,-8.5985107421875,13.576550483703613,-57.212520599365234
294,-7.979095458984375,14.1574068069458,-57.254146575927734
295,-7.486396312713623,14.867109298706055,-57.36974334716797
296,-7.114052772521973,15.8252592086792,-57.58799743652344
297,-7.020245552062988,17.36174964904785,-57.96217346191406
298,-7.055639743804932,19.070903778076172,-58.38775634765625
299,-7.268393039703369,20.705106735229492,-58.8211669921875
300,-7.514942169189453,22.039031982421875,-59.23994827270508
301,-7.89033842086792,22.77552032470703,-59.56669616699219
302,-8.411945343017578,23.38979721069336,-59.96949005126953
303,-9.121203422546387,23.87472152709961,-60.5092658996582
304,-9.926183700561523,24.467144012451172,-61.073970794677734
305,-10.92518424987793,25.244117736816406,-61.61053466796875
306,-11.972176551818848,26.147449493408203,-62.14921951293945
